ReservableOptionMarketGroupId,WeekBeforeArrival,actual_incremental,pred_incremental_simulated
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,45,0.0,0.004278428116360996
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,44,0.0,0.004669202274100029
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,43,0.0,0.004724070469431102
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,42,0.0,0.004792717778215405
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,41,0.0,0.004948469029448427
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,40,0.0,0.0048289616268809114
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,39,0.0,0.004760761321367413
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,38,0.0,0.004575659691886309
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,37,0.0,0.004746736591717632
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,36,0.0,0.0047763566126746496
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,35,0.0,0.004866729015061011
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,34,0.0,0.004669432719998004
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,33,0.0,0.004494251584240086
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,32,0.0,0.004519916145059197
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,31,0.0,0.0050101632317298035
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,30,0.0,0.0050101632317298035
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,29,0.0,0.0046541953857642355
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,28,0.0,0.3783946214115441
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,27,0.0,0.3923590578774418
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,26,0.0,0.3970341556086675
